ProductId	Title	Brand	Image	Price	Category		
1	Huawei MateBook X Pro 13inch i7-8550U 16GB RAM 500GB	Huawei	https://tweakers.net/i/zASf7LE8LbDPq1O6Lwkb0QVEwpI=/i/2002174909.jpeg	1477.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Huawei MateBook X Pro 13inch i7-8550U 16GB RAM 500GB','Huawei','https://tweakers.net/i/zASf7LE8LbDPq1O6Lwkb0QVEwpI=/i/2002174909.jpeg',1477.00,'Laptop');"
2	Asus ZenBook RX333FA 13inch i7-8565U 8GB RAM 250GB 	Asus	https://tweakers.net/i/hvpq-0o00dsgp-kGwNgDUlC3hOE=/i/2002395475.jpeg	950.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Asus ZenBook RX333FA 13inch i7-8565U 8GB RAM 250GB ','Asus','https://tweakers.net/i/hvpq-0o00dsgp-kGwNgDUlC3hOE=/i/2002395475.jpeg',950.00,'Laptop');"
3	Dell XPS 15 9570 15inch i7-8750H 16GB RAM 500GB 	Dell	https://tweakers.net/i/sVw1RLe1ClzLkvriSZ3X22p3Dqo=/fit-in/1280x/filters:strip_icc()/i/2002337747.jpeg?f=imagegallery	1571.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Dell XPS 15 9570 15inch i7-8750H 16GB RAM 500GB ','Dell','https://tweakers.net/i/sVw1RLe1ClzLkvriSZ3X22p3Dqo=/fit-in/1280x/filters:strip_icc()/i/2002337747.jpeg?f=imagegallery',1571.00,'Laptop');"
4	Acer Aspire 7 A715 15inch i7-8750H 8GB RAM 1TB	Acer	https://tweakers.net/i/YNm5aV_Hedc2gdasJo4js9sZBj4=/i/2002537132.jpeg	949.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Acer Aspire 7 A715 15inch i7-8750H 8GB RAM 1TB','Acer','https://tweakers.net/i/YNm5aV_Hedc2gdasJo4js9sZBj4=/i/2002537132.jpeg',949.00,'Laptop');"
5	Lenovo IdeaPad 330 15inch i7-8750H 8GB RAM 1TB	Levnovo	https://tweakers.net/i/j2J1QWSBB-YtjuO1OYiHc-gqnKE=/i/2002030033.jpeg	799.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Lenovo IdeaPad 330 15inch i7-8750H 8GB RAM 1TB','Levnovo','https://tweakers.net/i/j2J1QWSBB-YtjuO1OYiHc-gqnKE=/i/2002030033.jpeg',799.00,'Laptop');"
6	Microsoft Surface Laptop 2 13inch i7-8650 16GB RAM 500GB	Microsoft	https://tweakers.net/i/BdgYPGw13Pzc4AC68qCkpRZ5BRs=/fit-in/x800/filters:strip_icc()/i/2002562292.jpeg?f=imagegallery	1950.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Microsoft Surface Laptop 2 13inch i7-8650 16GB RAM 500GB','Microsoft','https://tweakers.net/i/BdgYPGw13Pzc4AC68qCkpRZ5BRs=/fit-in/x800/filters:strip_icc()/i/2002562292.jpeg?f=imagegallery',1950.00,'Laptop');"
7	Acer Spin 5 SP513 13inch i5-8250U 8GB RAM 500GB	Acer	https://tweakers.net/i/kZnLKLWZBXfuMPF9tHOy5u-M8zY=/i/2001724565.jpeg	791.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Acer Spin 5 SP513 13inch i5-8250U 8GB RAM 500GB','Acer','https://tweakers.net/i/kZnLKLWZBXfuMPF9tHOy5u-M8zY=/i/2001724565.jpeg',791.00,'Laptop');"
8	Asus ZenBook Flip RX562FD 15inch i5-8265U 8GB RAM 250GB	Asus	https://tweakers.net/i/Dkvj1zOijnGnyoCM_jgjjFQidaM=/i/2002394969.jpeg	1199.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Asus ZenBook Flip RX562FD 15inch i5-8265U 8GB RAM 250GB','Asus','https://tweakers.net/i/Dkvj1zOijnGnyoCM_jgjjFQidaM=/i/2002394969.jpeg',1199.00,'Laptop');"
9	Lenovo ThinkPad T480 14inch i5-8250U 8GB RAM 250GB	Levnovo	https://tweakers.net/i/Tp3mmzPLxznfCubfREbbSTzukaw=/i/2001849555.jpeg	949.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('Lenovo ThinkPad T480 14inch i5-8250U 8GB RAM 250GB','Levnovo','https://tweakers.net/i/Tp3mmzPLxznfCubfREbbSTzukaw=/i/2001849555.jpeg',949.00,'Laptop');"
10	HP Envy x360 15inch i5-8250U 8GB RAM 250GB	HP	https://tweakers.net/i/VTwcq5Pugs6WfaUn3HQBxDJMXCo=/i/2002092745.jpeg	949.00	Laptop		"INSERT INTO api_product (title, brand, image, price, category) VALUES ('HP Envy x360 15inch i5-8250U 8GB RAM 250GB','HP','https://tweakers.net/i/VTwcq5Pugs6WfaUn3HQBxDJMXCo=/i/2002092745.jpeg',949.00,'Laptop');"
