OrderId;UserId;ProductId
1566;1;28
1209;8;32
221;8;10
459;1;15
77;4;3
1045;1;25
343;4;3
1601;1;21
461;4;26
936;8;4
356;8;22
857;4;26
208;8;45
1234;4;15
434;4;50
761;8;10
1051;8;4
1529;1;44
1420;1;22
1021;4;28
507;1;17
1728;8;27
1771;4;33
1146;8;46
24;1;23
1277;4;3
1451;1;33
1229;4;15
177;8;26
1049;4;17
1034;4;50
1774;4;46
40;4;26
50;8;9
1308;1;50
49;4;9
1657;8;10
354;1;19
42;4;21
988;8;36
417;8;17
7;8;25
1196;1;32
1508;8;25
1036;8;45
4;4;17
738;4;44
1759;4;25
549;8;25
644;8;26
769;1;15
557;1;45
740;8;25
603;8;32
390;8;45
1326;4;3
156;1;25
1686;8;45
1649;1;46
819;1;19
1156;4;23
192;8;32
1502;8;32
1270;8;26
1101;8;23
1592;8;31
874;1;44
260;8;46
1616;8;46
987;4;45
1522;4;46
1302;4;4
479;1;31
1352;1;26
1242;8;4
541;1;26
399;4;26
472;1;4
1353;4;32
99;4;50
923;8;22
892;4;27
336;1;43
1345;4;15
210;1;4
1018;4;3
14;4;46
840;1;25
1376;4;44
1141;1;32
677;1;3
497;8;36
975;8;28
1779;4;50
51;8;46
828;4;28
1350;8;44
1719;4;27
1019;4;27
197;8;36
107;8;10
1486;8;32
33;4;50
550;8;31
570;4;45
1383;4;15
499;8;32
1555;4;44
1754;8;45
982;4;25
1494;8;4
1532;1;3
812;1;31
421;8;23
1056;4;9
1537;4;28
1648;8;45
1098;4;36
1059;4;9
178;8;32
446;8;27
1115;1;17
1193;1;15
1175;8;15
331;1;17
1441;8;26
509;8;46
1237;4;3
1614;8;45
1596;1;31
788;4;50
460;4;45
995;4;25
462;8;32
535;1;15
1646;1;9
1630;4;46
355;1;23
1632;4;32
908;4;27
1463;8;21
674;1;17
1385;1;9
270;4;31
832;8;45
1389;1;36
18;8;26
305;8;21
82;1;44
918;4;17
1634;1;36
950;8;33
891;1;46
182;8;9
713;4;27
1363;8;36
1780;1;4
604;1;19
1103;8;46
1247;8;17
1533;8;31
1547;4;9
1381;1;21
277;1;9
238;1;45
1671;4;28
1090;8;3
1292;4;50
958;1;28
1158;1;33
174;8;45
427;8;44
589;8;9
1382;8;50
1239;1;19
165;4;25
798;8;50
134;8;46
862;8;3
610;1;46
1431;1;15
1064;4;4
85;8;31
513;1;25
255;8;50
5;1;50
859;4;9
924;1;50
1254;1;44
1741;1;3
785;4;9
1378;4;9
1783;4;15
329;1;43
1067;1;4
1257;4;43
1412;4;44
1123;4;36
978;4;15
1369;8;10
586;6;40
626;2;5
1211;11;48
1567;11;8
804;11;29
1517;9;2
1731;10;11
1245;2;37
395;11;8
12;10;13
698;6;13
303;5;37
164;11;48
108;9;11
585;5;13
1271;6;40
475;11;30
1769;2;8
1391;6;51
1260;6;40
1579;2;7
456;5;8
1525;5;1
324;9;18
1744;2;48
1773;11;35
441;5;11
239;10;40
1675;11;47
531;10;47
1205;5;48
721;2;42
659;10;37
1589;9;14
1216;11;35
609;2;8
408;6;35
78;5;40
1635;10;2
1687;11;29
1798;10;14
132;9;51
1157;6;13
1135;2;1
648;11;37
673;6;34
160;10;1
965;5;29
39;9;8
553;9;13
449;2;29
796;10;7
890;6;35
1440;2;7
1174;2;35
1768;6;1
895;11;51
93;9;49
1777;9;11
552;5;13
823;2;40
167;11;18
1338;10;14
359;5;11
496;11;7
1506;2;16
1726;11;40
379;6;42
1762;5;13
1674;2;13
1666;5;30
1544;6;47
409;6;49
1268;11;14
1415;5;11
735;5;51
762;6;8
969;9;37
1749;10;34
337;9;30
1042;6;11
1318;5;30
743;10;2
1455;5;48
289;6;2
1210;11;14
627;6;29
1124;11;13
1621;9;42
350;2;13
275;6;51
1262;9;14
1499;6;14
333;11;42
1266;5;1
558;2;47
1332;11;11
1236;2;35
1214;10;11
415;6;34
803;11;11
1182;10;35
154;6;49
184;9;18
1215;11;11
1557;10;1
920;10;40
6;9;48
1006;9;49
258;11;11
1778;5;30
352;9;34
694;10;51
1737;9;37
667;2;49
1418;2;47
1449;6;37
1761;11;47
1705;10;13
429;2;49
1446;9;51
1696;5;34
726;5;5
162;2;37
658;6;40
1667;11;35
1793;10;14
843;2;13
601;10;49
1694;10;47
19;5;11
699;10;35
1307;11;18
424;10;1
1577;5;40
935;9;8
321;2;13
96;6;48
1013;9;51
1249;10;47
233;9;37
1775;9;16
299;9;30
1490;6;42
28;10;8
374;6;40
400;2;51
1039;5;49
1012;10;29
521;6;49
157;9;49
114;6;7
422;6;42
718;9;11
193;9;42
1725;10;29
1052;2;2
1552;6;42
1651;2;13
1488;11;48
1102;6;8
635;2;37
1226;2;5
22;11;13
1185;11;8
533;10;40
1435;10;49
985;9;47
1212;2;29
991;11;11
1367;5;49
1707;6;8
632;10;5
1423;9;35
577;9;13
976;10;14
758;5;14
90;5;42
1310;9;51
1530;11;2
1467;6;7
770;10;29
205;6;51
844;2;5
943;5;42
153;11;49
301;9;8
353;5;49
886;6;16
742;6;11
232;10;48
168;2;13
893;6;51
625;2;16
226;5;14
1735;11;49
780;2;30
1327;11;47
1015;11;42
607;6;5
128;7;6
247;12;24
387;13;12
463;12;52
291;12;6
1048;13;24
639;13;20
1734;13;38
15;3;20
111;12;6
229;13;24
1248;13;24
728;13;6
384;3;6
1603;12;38
1009;7;38
1653;3;12
419;12;6
448;7;12
377;13;24
169;12;52
1747;13;24
1387;3;6
1020;3;24
1348;7;38
41;13;52
1558;13;12
246;12;52
1454;7;24
646;12;38
1284;7;12
1177;13;12
729;12;20
1001;13;20
1286;13;20
1642;3;38
1172;13;12
1328;7;38
1507;7;20
1250;12;24
1130;12;24
351;12;12
297;12;6
1692;13;20
864;13;20
849;13;12
1553;3;24
1203;7;20
715;3;24
759;3;24
87;7;6
1022;7;6
1523;3;52
817;13;12
1238;3;12
961;7;20
1683;3;38
805;3;24
561;13;24
1355;3;52
669;13;20
1598;13;6
272;12;6
1031;12;6
79;12;6
1323;3;24
204;13;12
16;12;20
235;12;24
1321;7;12
325;12;38
855;13;6
