idBudget;bgUren;bgStatus;bgidActivity;bgidProject;idCompany
28049;1;Closed;202;1909;9222
28182;1;Closed;NULL;1909;9222
26137;1;Closed;NULL;1909;9222
26143;1;Closed;202;1909;9222
26397;1;Closed;NULL;1909;9222
30950;1;Closed;NULL;1909;9222
38169;1;Closed;NULL;1909;9222
38196;1;Closed;202;1909;9222
30271;1;Closed;202;1909;9222
33247;1;Closed;NULL;1909;9222
31633;1;Closed;NULL;1909;9222
31809;1;Closed;NULL;1909;9222
34240;1;Closed;NULL;1909;9222
38168;1;Closed;NULL;1909;9222
39097;0;Active;NULL;1909;9222
39588;1;Closed;202;1909;9222
38345;1;Closed;NULL;1909;9222
38346;1;Closed;NULL;1909;9222
38729;1;Closed;NULL;1909;9222
38746;1;Closed;NULL;1909;9222
30353;1;Closed;202;1909;9222
30570;1;Closed;NULL;1909;9222
33606;1;Closed;NULL;1909;9222
33607;1;Closed;NULL;1909;9222
33608;1;Closed;NULL;1909;9222
37082;1;Closed;NULL;1909;9222
38717;1;Closed;202;1909;9222
38749;1;Closed;202;1909;9222
39756;1;Closed;202;1909;9222
43733;1;Closed;202;1909;9222
26843;1;Closed;NULL;1909;9222
26844;1;Closed;NULL;1909;9222
26140;1;Closed;202;1909;9222
26141;1;Closed;NULL;1909;9222
31271;1;Closed;NULL;1909;9222
37922;1;Closed;NULL;1909;9222
37940;1;Closed;NULL;1909;9222
38167;1;Closed;NULL;1909;9222
43737;1;Closed;202;1909;9222
43738;1;Closed;202;1909;9222
41073;1;Closed;202;1909;9222
41074;1;Closed;202;1909;9222
6796;0;Active;NULL;1909;9222
26139;1;Closed;NULL;1909;9222
43848;1;Closed;202;1909;9222
43849;1;Closed;202;1909;9222
26142;1;Closed;202;1909;9222
33609;1;Closed;202;1909;9222
39587;1;Closed;202;1909;9222
43732;1;Closed;202;1909;9222
44083;1;Closed;202;1909;9222
44358;1;Closed;202;1909;9222
43734;1;Closed;202;1909;9222
43736;1;Closed;202;1909;9222
43846;1;Closed;202;1909;9222
43847;1;Closed;202;1909;9222
43850;1;Closed;202;1909;9222
43851;1;Closed;202;1909;9222
43852;1;Closed;202;1909;9222
44084;1;Closed;202;1909;9222
44081;1;Closed;202;1909;9222
44082;1;Closed;202;1909;9222
44087;1;Closed;202;1909;9222
44151;1;Closed;202;1909;9222
44152;1;Closed;202;1909;9222
41598;1;Closed;202;1909;9222
43742;1;Closed;202;1909;9222
43845;1;Closed;202;1909;9222
43331;1;Closed;202;1909;9222
43332;1;Closed;202;1909;9222
43333;1;Closed;202;1909;9222
43334;1;Closed;202;1909;9222
44085;1;Closed;202;1909;9222
44086;1;Closed;202;1909;9222
45048;1;Closed;202;1909;9222
44512;1;Closed;202;1909;9222
44689;1;Closed;202;1909;9222
44861;1;Closed;202;1909;9222
41599;1;Closed;202;1909;9222
43203;2;Closed;202;1909;9222
44690;1;Closed;202;1909;9222
44691;1;Closed;202;1909;9222
44868;1;Closed;202;1909;9222
46808;1;Closed;202;1909;9222
45046;1;Closed;202;1909;9222
45047;1;Closed;202;1909;9222
48573;1;Closed;202;1909;9222
49107;1;Closed;202;1909;9222
49382;1;Closed;202;1909;9222
49383;1;Closed;202;1909;9222
44862;1;Closed;202;1909;9222
44863;1;Closed;202;1909;9222
45905;1;Closed;202;1909;9222
45906;1;Closed;202;1909;9222
49104;1;Closed;202;1909;9222
49105;1;Closed;202;1909;9222
46809;1;Closed;202;1909;9222
48230;1;Closed;202;1909;9222
45903;1;Closed;202;1909;9222
45904;1;Closed;202;1909;9222
45910;1;Closed;202;1909;9222
45911;1;Closed;202;1909;9222
49384;1;Closed;202;1909;9222
49385;1;Closed;202;1909;9222
49646;1;Closed;202;1909;9222
49647;1;Closed;202;1909;9222
50015;1;Closed;202;1909;9222
50016;1;Closed;202;1909;9222
49381;1;Closed;202;1909;9222
49386;1;Closed;202;1909;9222
50767;1;Closed;202;1909;9222
50801;1;Closed;202;1909;9222
50923;1;Closed;202;1909;9222
50924;1;Closed;202;1909;9222
45912;1;Closed;202;1909;9222
45913;1;Closed;202;1909;9222
50927;1;Closed;202;1909;9222
50933;1;Closed;202;1909;9222
50934;1;Closed;202;1909;9222
50935;1;Closed;202;1909;9222
43356;25;Closed;202;8369;9062
43357;18;Closed;202;8369;9062
12941;0;Closed;NULL;2435;9278
58312;8;Closed;232;13049;9351
58313;5;Active;232;13051;9351
58667;14;Active;232;13105;9351
51692;144;Closed;232;10172;9351
51693;48;Active;232;10172;9351
50509;48;Closed;232;10172;9351
50510;144;Closed;232;10172;9351
14038;0;Closed;NULL;3394;9430
16402;8;Closed;492;3394;9430
43311;4;Inactive;492;8355;9444
43312;8;Inactive;492;8355;9444
43314;3;Inactive;492;8355;9444
35043;16;Active;558;6819;9444
33884;0;Active;NULL;6819;9444
33885;0;Active;NULL;6819;9444
41455;34;Inactive;203;8201;9444
41573;10;Inactive;203;8201;9444
43161;2;Inactive;202;8201;9444
41538;27;Inactive;203;8201;9444
41572;94;Inactive;203;8201;9444
51730;32;Closed;557;10342;9444
51731;28;Closed;556;10342;9444
51733;4;Closed;557;10342;9444
54079;5;Closed;556;10717;9444
54148;3;Closed;556;10717;9444
41539;93;Inactive;203;8201;9444
36984;0;Active;NULL;7603;9444
56609;12;Closed;207;11950;9444
56736;28;Closed;556;11950;9444
56737;23;Closed;557;11950;9444
51729;20;Closed;204;10342;9444
51597;16;Closed;207;10342;9444
49227;16;Closed;204;9973;9444
49228;32;Closed;204;9973;9444
49229;0;Closed;204;9973;9444
49230;24;Closed;204;9973;9444
50232;0;Closed;204;9973;9444
36983;0;Active;NULL;7603;9444
49008;24;Closed;204;9973;9444
49009;60;Closed;204;9973;9444
49231;70;Closed;204;9973;9444
49010;40;Closed;204;9973;9444
49013;10;Closed;204;9973;9444
49220;8;Closed;204;9973;9444
46156;8;Closed;492;8686;9444
48072;8;Closed;492;9846;9444
48073;16;Closed;492;9846;9444
48074;16;Closed;492;9846;9444
48075;8;Closed;492;9846;9444
48077;6;Closed;492;9846;9444
37002;454;Active;203;6819;9444
45860;24;Closed;492;8686;9444
45861;34;Closed;492;8686;9444
46094;32;Closed;492;8686;9444
46095;52;Closed;492;8686;9444
46157;20;Closed;492;8686;9444
60356;4;Inactive;207;13389;9460
60340;12;Inactive;204;13389;9460
60346;2;Inactive;204;13389;9460
60347;4;Inactive;204;13389;9460
60353;5;Inactive;207;13389;9460
60350;16;Inactive;204;13389;9460
60339;8;Inactive;207;13389;9460
60336;32;Inactive;204;13389;9460
60341;24;Inactive;204;13389;9460
60342;12;Inactive;204;13389;9460
60343;8;Inactive;204;13389;9460
60349;2;Inactive;204;13389;9460
60354;16;Inactive;204;13389;9460
60355;2;Inactive;207;13389;9460
60351;8;Inactive;204;13389;9460
60352;8;Inactive;204;13389;9460
60337;8;Inactive;204;13389;9460
60338;12;Inactive;204;13389;9460
61243;122;Active;207;13473;9495
61240;80;Active;203;13473;9495
61241;88;Active;205;13473;9495
61242;100;Active;204;13473;9495
22520;0;Closed;NULL;5284;9545
22521;0;Closed;NULL;5284;9545
36690;0;Active;NULL;7563;9545
36691;0;Active;NULL;7563;9545
36697;0;Active;NULL;7564;9545
36696;0;Active;NULL;7564;9545
39811;8;Closed;202;7981;9545
39813;8;Closed;202;7981;9545
42860;8;Closed;202;8275;9545
42861;4;Closed;202;8275;9545
42862;2;Closed;202;8275;9545
22457;0;Closed;NULL;4575;9545
26982;0;Closed;NULL;6084;9545
26983;0;Closed;NULL;6084;9545
26984;0;Closed;NULL;6086;9545
26985;0;Closed;NULL;6086;9545
39476;8;Closed;202;7934;9545
42814;16;Closed;202;8261;9545
42815;4;Closed;202;8261;9545
42816;4;Closed;202;8261;9545
18898;0;Active;NULL;4507;9545
18897;0;Active;NULL;4507;9545
22458;0;Closed;NULL;4575;9545
46897;22;Closed;203;8826;9545
39196;9;Closed;202;7896;9545
39197;64;Closed;202;7896;9545
40741;20;Closed;202;8102;9545
40742;24;Closed;202;8102;9545
40740;8;Closed;202;8102;9545
