Id;type;BarCode;SerialNumber;Price;DateCreated;DateUpdated;Stock;Total;Terminated;IsLoanItem;location
1;Hardware;F60B31E0-9C37-4A89-BFB7-CBE9AFC69F5C;9DAB6C03-ACCF-4017-91E5-E8E24D54E232;67,00;2017-06-24 00:00:00.000;2018-11-08 14:20:40.077;10;112;4;0;NULL
3;Hardware;F9DD1AC4-A3BE-4AD2-A744-7561C2E380BF;0727584B-0FEA-43E9-999B-DA7AD7E642BB;0,00;2017-06-24 00:00:00.000;2018-12-27 13:46:54.817;0;3;3;0;NULL
4;Hardware;9D1CB824-799D-4C95-AC4B-6CAD7459F2F0;99B298C2-50A1-4343-A5EC-FF32B6752409;60,00;2017-06-24 00:00:00.000;2018-11-29 14:34:31.323;27;223;4;0;Amsterdam
6;Hardware;5EC5F17E-DFD1-4851-8831-348DFBBB61CB;30C493EF-812E-4804-B030-D7102AE3FBB6;19,00;2017-06-24 00:00:00.000;2018-11-14 10:39:59.533;10;23;4;0;Amsterdam
8;Hardware;E475EF7E-9999-4576-874F-1567B374EBD5;C2330969-F07F-4134-A02F-FE7D2040924C;66,00;2017-06-24 00:00:00.000;2018-11-14 10:40:10.440;7;9;0;0;NULL
9;Hardware;7930E46D-AF6E-4C51-AE26-464E231B15CF;156C9D25-A342-4C88-A10F-7E909ECDBC1A;0,00;2017-06-24 00:00:00.000;2017-06-24 21:40:44.193;0;2;0;0;NULL
10;Laptop;BC62801B-E28E-492B-96F0-0298885B8A58;407F79A4-F928-4BCD-A130-85429EA6472A;1725,89;2017-02-14 00:00:00.000;2018-09-08 11:06:56.207;0;1;0;0;Amsterdam
11;Phone;070BEA12-7C5E-4610-9242-C600B8FEFCD7;BB2F53EF-4086-4448-A07E-5EFA2C4882EF;842,15;2017-02-14 00:00:00.000;2018-11-27 12:32:07.670;0;1;1;0;NULL
12;Hardware;633E795C-04FB-45E0-ACA0-BCB846279205;5363169D-F11F-4364-84FF-C9F7588BBCB1;59,00;2017-06-24 00:00:00.000;2018-11-14 10:40:25.940;6;17;2;0;Amsterdam
14;Software;B5A37732-DB96-4182-B932-81F389754FC0;E1439B70-F815-49AD-9D9C-9C54CD7958D7;57,48;2017-06-24 00:00:00.000;2018-12-07 21:44:47.460;9;108;0;0;NULL
15;Software;400F5A61-30CC-4B1D-942C-81676D9831EE;A024D490-8F7B-4C7F-AC3A-CCC25C3A0032;24,79;2017-06-24 00:00:00.000;2018-11-16 07:45:52.997;2;17;0;0;NULL
16;Software;B588089A-8047-4A25-934B-B2FA994862D5;DC18CA5E-8798-4CE3-88A8-C6DB99C1023C;24,79;2017-06-24 00:00:00.000;2018-11-16 07:46:00.277;0;1;0;0;NULL
17;Software;418ECFDF-423E-4155-91DE-3136ADA50FCC;1DCBB4AA-76FA-4CF1-9E5D-D8B040E71E98;13,62;2017-06-24 00:00:00.000;2018-12-24 12:48:51.237;1;7;0;0;NULL
18;Hardware;C52DA5ED-4882-4850-8769-7CB4DAFB20DD;0415D9FE-C00E-44AF-8EA1-FD1700646489;30,00;2017-06-24 00:00:00.000;2018-11-16 08:26:21.687;12;34;1;0;Amsterdam
19;Hardware;5E92C7B0-F735-435B-B6E6-A41F86F2AA61;361F4EF2-09C4-46FD-9DFE-405BED4D0C75;38,00;2017-06-24 00:00:00.000;2018-11-14 11:14:34.217;7;25;1;0;Amsterdam
20;Software;CA4E84FF-E5E9-4FC0-B228-29C0D8CA10E3;485665F4-15FD-4B0B-B33E-30027F9E06D2;119,97;2017-07-01 14:08:38.850;2018-11-16 07:50:24.307;4;9;0;0;NULL
21;Software;1637EFE3-F9CC-4DF6-B086-10415DF602E5;E6D7E3FF-0318-4199-BB72-9C090662BDEB;185,09;2017-07-01 14:12:06.067;2018-11-16 07:50:33.243;5;17;0;0;NULL
22;Software;85B80BF4-4CA7-438F-BAD4-9B863772B8CA;E9593DC3-5CD3-42A0-A5E1-0780805FEA7E;14,36;2017-07-16 11:05:58.120;2018-11-29 08:26:41.017;4;25;0;0;NULL
23;Laptop;28105BB7-A3A4-4AE3-8EFC-DA42F6774D66;29B22ECF-4F12-4CD5-AC7A-269A62AF0C25;1659,00;2017-07-16 13:24:15.363;2018-12-24 14:27:14.423;0;1;0;0;Rotterdam
24;Laptop;1B9C474E-71E5-4C04-AB2F-3B65588CA7E0;C1F845E2-DC65-47EF-814D-5CAEF4E90FAA;1659,00;2017-07-16 13:25:48.177;2018-11-14 19:41:08.523;0;1;0;0;NULL
25;Laptop;A66A21D3-E9FE-4895-B2A9-28E04BAEE7AB;3D04C04E-694D-438D-A681-85F290040B1A;1659,00;2017-07-16 13:29:57.460;2018-12-24 14:27:30.157;0;1;0;0;Rotterdam
27;Laptop;61B2C68A-E2E7-487B-9CE0-4482BAC5320A;0EFDC24B-90EA-4BD3-A926-38FA41BEC099;0,00;2017-07-16 15:11:02.197;2017-10-09 10:46:49.027;0;1;0;0;NULL
28;Laptop;04F66B16-9FC8-4F8D-BFD6-2EB7C9969C9C;B4DDF7B9-22D6-4E7E-971C-9F336487CFFB;0,00;2017-07-16 15:11:55.023;2018-11-14 19:40:51.477;1;1;0;0;NULL
29;Laptop;9467FA5C-AA9C-438D-A1DE-FE6CF105896F;64CDCD40-B788-4F79-97CF-7288AF54EE25;0,00;2017-07-16 15:13:31.713;2018-11-14 19:41:31.837;0;1;0;0;Amsterdam
30;Laptop;A31DBCC1-E16D-4E11-9449-02299AA3317D;D73DDAEB-F3B3-49F7-B962-9F96A9726064;0,00;2017-07-16 15:18:10.530;2018-11-14 19:41:25.960;0;1;1;0;NULL
31;Laptop;F7B6384A-3A09-42EE-87B5-09B2823A74EC;4AD3214C-B6E8-4A79-B9E5-BDA5EA120F3F;0,00;2017-07-16 15:19:21.827;2018-09-05 14:01:56.790;0;1;1;0;NULL
32;Software;F1DEAD6F-13CF-4F9E-A502-6028F3E7F92E;7BBBD6D8-78F6-4C24-8EE8-0EEE4AFD557B;21,60;2017-07-16 15:38:14.777;2018-11-29 16:16:09.717;7;80;0;0;NULL
33;Laptop;072287FF-3070-4DDF-AAFA-19387361BDF9;AFC7F05A-3ADA-4DB1-8D61-4565C0279892;0,00;2013-06-26 00:00:00.000;2017-10-09 10:53:00.057;0;1;0;0;NULL
34;Laptop;BF61A252-DD58-474C-B56E-90B16787271F;CA7F6A25-E2BE-4FB8-8152-076013060086;0,00;2013-10-18 00:00:00.000;2017-10-09 10:52:03.120;0;1;0;0;NULL
35;Laptop;DE5218DA-FC91-476B-AD82-3FC42C288A5C;010262C9-D8E3-4EC3-8B0F-197B64D48DC9;0,00;2013-11-08 00:00:00.000;2017-10-11 12:54:42.247;0;1;0;0;NULL
36;Laptop;B167662D-F3D7-4B3B-9C83-AF68E03F3D40;07FB10E3-1267-4F95-9FAA-4AC328A7CFD6;0,00;2014-04-01 00:00:00.000;2018-11-14 19:41:43.273;0;1;0;0;NULL
