Id, Title, Brand, Image, Price 
1,Dell Precision M6500 i7-X920 2.00GHz/16GB/256GB/AMD FirePro M7740/Win 10 Pro,Dell,https://i.ebayimg.com/thumbs/images/g/gsMAAOSwkt9c0GuQ/s-l225.jpg,$399.99 
2,HP Laptop ProBook 640 G1 Intel Core i5-4200M 2.50GHz 4GB 320GB HDD Win 10 Home,HP,https://i.ebayimg.com/thumbs/images/g/j0YAAOSwFGNcNSZ2/s-l225.jpg,$259.99 
3,Dell Latitude 7270 i7-6600U @2.6GHz 8GB RAM DDR4, 256GB SSD, GD3KPC2,Dell,https://i.ebayimg.com/thumbs/images/g/OTUAAOSwo6hc0IUR/s-l225.jpg,$332.08 
4,HP EliteBook 820 G1 12.5" Intel Dual Core i7-4600U 2.10GHz 8GB RAM 256GB SSD SIM,HP,https://i.ebayimg.com/thumbs/images/g/nmgAAOSwUxlb9FDw/s-l225.jpg,$459.99 
5,Laptop Panasonic Toughbook Rugged CF-19 MK3 2GB 160GB WIndows 7 Car Diagnostic ,Panasonic,https://i.ebayimg.com/thumbs/images/g/ZF8AAOSwbmFcZxt~/s-l225.jpg,$157.09 
6,Dell Latitude 7440 i5-4300U @1.9GHz, 4GB, Touchscreen, 1920x1080, 128GB SSD,Dell,https://i.ebayimg.com/thumbs/images/g/TW4AAOSwpsBcvgEl/s-l225.jpg,$279.00 
7,HP EliteBook 8770w WS Laptop i7-3630QM@2.40GHz 16GBRAM 500GBHDD 128GB SSD Win10,HP,https://i.ebayimg.com/thumbs/images/g/~JkAAOSw6JZc0GVe/s-l225.jpg,$375.00 
8,NEW HP 11.6" Intel Dual-Core 2.6GHz 4GB 32GB Windows 10 Streambook w/ Office 365,HP,https://i.ebayimg.com/thumbs/images/g/7EYAAOSwE~ZcCAxH/s-l225.jpg,$169.99 
9,HP Stream 14" Notebook Intel Celeron Dual core 4GB 64GB Win 10 - Blue,HP,https://i.ebayimg.com/thumbs/images/g/PU8AAOSwFlJcG66Y/s-l225.jpg,$186.99 
10,Toshiba Satellite 14" L745320GB, INTEL CORE i32.20GHz, 4GB WIN 10 ,Toshiba,https://i.ebayimg.com/thumbs/images/g/K1MAAOSwtcRb8Vnj/s-l225.jpg,$198.00 
11,Lenovo Thinkpad Yoga 20FY0002US 14” Intel i5 8GB 512GB SSD WS 10 ,Lenovo,https://i.ebayimg.com/thumbs/images/g/hC8AAOSw4shX8DUl/s-l225.jpg,$1,569.95 
12,HP ZBook 15 G4 | Laptop | Intel Xeon E3-1505M v6| 16GB RAM | 512 GB SSD | 1JD3,HP,https://i.ebayimg.com/thumbs/images/g/jW8AAOSw5LRchnG8/s-l225.jpg,$1,099.00 
13,Dell Inspiron 14R 5421 1.8GHz, 16GB, 500GB Windows 7 Office 07 14" Touchscreen ,Dell,https://i.ebayimg.com/thumbs/images/g/PPkAAOSw65FXqQDe/s-l225.jpg,$399.87 
